"国家","出度","入度","加权出度","加权入度","介数中心性","接近中心性","特征向量中心性"
"45",3,3,3000304697.684,3000304697.684,0,0.99587311324792,0.0445579115556884
"106",1,1,30716,30716,0,0.961073004981225,8.9675874198298e-07
"165",3,3,429354.223,429354.223,0,0.990995214655919,1.95344045694257e-09
"119",6,6,11430274.843,11430274.843,0.0114942528735632,0.996622045683419,0.000121795518846786
"97",7,7,4422603.659,4422603.659,0.0114942528735632,0.996580887159943,1.01747732732725e-07
"103",4,4,1430800.758,1430800.758,0,0.98013523069155,9.18488646163821e-06
"14",4,4,18266801.679,18266801.679,0.034084114012358,0.99453980253699,0.000201889118380935
"15",5,5,44511215.045,44511215.045,0,0.95000878113481,0.000449313770778047
"154",48,48,1171640807.826,1171640807.826,0.0439173476845392,0.998571383266247,0.0151224823420946
"51",3,3,36789.171,36789.171,0.0197993488804731,0.997775270668077,3.47235618918719e-11
"39",10,10,1602632.619,1602632.619,0.0302305494651518,0.996217019678878,1.39786349993712e-05
"130",2,2,3001309,3001309,0,0.942632967826939,3.32908971616412e-10
"161",22,22,144413975.1,144413975.1,0.00179390073749253,0.965049080725962,0.000336480375590436
"65",1,1,12520,12520,0,0.982147882812238,3.65523487746676e-07
"81",2,2,21415.348,21415.348,0,0.984533237232476,5.38574442805369e-13
"59",10,10,201538428.852,201538428.852,0,0.993208067831247,0.00368608862155052
"41",3,3,26811.38,26811.38,0,0.996384223441768,5.33151028982108e-07
"156",5,5,101057.357,101057.357,0.0114942528735632,0.993170975327685,1.95949912113319e-06
"20",9,9,218686160.45,218686160.45,0,0.978805149872315,2.71780644361019e-05
"1",2,2,16555076.388,16555076.388,0,0.987857426555179,0.000184424831907743
"61",3,3,25373.292,25373.292,0,0.992949855096171,1.37777335362735e-07
"7",14,14,3170305621.63,3170305621.63,0.000132881536110557,0.979341028925693,0.0127052583365363
"85",7,7,83287906.589,83287906.589,0,0.991483596577312,0.000254144247861018
"24",7,7,76786207.286,76786207.286,0,0.990276205862832,0.000764604984771253
"102",24,24,133466702.076,133466702.076,0.112085575709255,0.9979923572566,1.91032327516453e-05
"79",18,18,320459713.73,320459713.73,0.168294465484021,0.999081322882031,0.00476786935958098
"34",4,4,158971.331,158971.331,0,0.979806049136975,3.90564404026839e-08
"22",7,7,12270886.733,12270886.733,0,0.990870791404659,3.46936582016032e-07
"2",27,27,175373606.93,175373606.93,0.0102318782805129,0.995041583757212,8.5740997515583e-05
"58",11,11,603973326.528,603973326.528,0.00305627533054282,0.979107655181803,0.0132009372721325
